package	suite	version
idle	resolute,now	3.14.3-0ubuntu2
info	resolute,now	7.2-5ubuntu2
init-system-helpers	resolute,now	1.69
init	resolute,now	1.69
install-info	resolute,now	7.2-5ubuntu2
iproute2	resolute,now	6.19.0-1ubuntu1
iputils-ping	resolute,now	3:20250605-1ubuntu1
iso-codes	resolute,now	4.20.1-1
javascript-common	resolute,now	12+nmu1build1
kbd	resolute,now	2.7.1-2ubuntu2
keyboard-configuration	resolute,now	1.237ubuntu3
kmod	resolute,now	34.2-2ubuntu2
krb5-locales	resolute,now	1.22.1-2ubuntu4
landscape-client	resolute,now	26.02.2-0ubuntu1
landscape-common	resolute,now	26.02.2-0ubuntu1
less	resolute,now	668-1build1
libabsl20260107	resolute,now	20260107.0-4
libacl1	resolute,now	2.3.2-2
libada-url0-3	resolute,now	3.4.3-1
libalgorithm-diff-perl	resolute,now	1.201-1
libalgorithm-diff-xs-perl	resolute,now	0.04-9
libalgorithm-merge-perl	resolute,now	0.08-5
libaom3	resolute,now	3.13.1-2
libapparmor1	resolute,now	5.0.0~beta1-0ubuntu7
libappstream5	resolute,now	1.1.2-1
libapt-pkg7.0	resolute,now	3.2.0
libarchive13t64	resolute-updates,resolute-security,now	3.8.5-1ubuntu2.1
libasan8	resolute,now	16-20260322-1ubuntu1
libassuan9	resolute,now	3.0.2-2build1
libatk-bridge2.0-0t64	resolute,now	2.60.0-1
libatk1.0-0t64	resolute,now	2.60.0-1
libatomic1	resolute,now	16-20260322-1ubuntu1
libatspi2.0-0t64	resolute,now	2.60.0-1
libattr1	resolute,now	1:2.5.2-4
libaudit-common	resolute,now	1:4.1.2-1build1
libaudit1	resolute,now	1:4.1.2-1build1
libauthen-sasl-perl	resolute,now	2.2000-1
libavahi-client3	resolute-updates,resolute-security,now	0.8-18ubuntu1.1
libavahi-common-data	resolute-updates,resolute-security,now	0.8-18ubuntu1.1
libavahi-common3	resolute-updates,resolute-security,now	0.8-18ubuntu1.1
libbinutils	resolute,now	2.46-3ubuntu2
libblkid1	resolute,now	2.41.3-3ubuntu2
libbpf1	resolute,now	1:1.6.3-1ubuntu1
libbrotli1	resolute,now	1.2.0-3build1
libbsd0	resolute,now	0.12.2-2build2
libbz2-1.0	resolute,now	1.0.8-6build2
libc-bin	resolute,now	2.43-2ubuntu2
libc-dev-bin	resolute,now	2.43-2ubuntu2
libc-gconv-modules-extra	resolute,now	2.43-2ubuntu2
libc6-dev	resolute,now	2.43-2ubuntu2
libc6	resolute,now	2.43-2ubuntu2
libcairo-gobject2	resolute,now	1.18.4-3
libcairo2	resolute,now	1.18.4-3
libcap-ng0	resolute,now	0.8.5-4build5
libcap2-bin	resolute,now	1:2.75-10ubuntu2
libcap2	resolute,now	1:2.75-10ubuntu2
libcares2	resolute,now	1.34.6-1
libcbor0.10	resolute,now	0.10.2-2ubuntu3
libcc1-0	resolute,now	16-20260322-1ubuntu1
libclone-perl	resolute,now	0.47-1
libcolord2	resolute,now	1.4.8-3
libcom-err2	resolute,now	1.47.2-3ubuntu4
libcrypt-urandom-perl	resolute,now	0.55-1
libcrypt1	resolute,now	1:4.5.1-1
libcryptsetup12	resolute,now	2:2.8.4-1ubuntu4
libctf-nobfd0	resolute,now	2.46-3ubuntu2
libctf0	resolute,now	2.46-3ubuntu2
libcups2t64	resolute-security,now	2.4.16-1ubuntu1.2
libcurl3t64-gnutls	resolute-updates,resolute-security,now	8.18.0-1ubuntu2.1
libcurl4t64	resolute-updates,resolute-security,now	8.18.0-1ubuntu2.1
libdata-dump-perl	resolute,now	1.25-1
libdatrie1	resolute,now	0.2.14-1
libdb5.3t64	resolute,now	5.3.28+dfsg2-10ubuntu1
libdbus-1-3	resolute,now	1.16.2-2ubuntu4
libdconf1	resolute,now	0.49.0-4
libdebconfclient0	resolute,now	0.280ubuntu1
libdevmapper1.02.1	resolute,now	2:1.02.205-2ubuntu3
libdisplay-info3	resolute,now	0.3.0-1
libdpkg-perl	resolute,now	1.23.7ubuntu1
libdrm-amdgpu1	resolute,now	2.4.131-1
libdrm-common	resolute,now	2.4.131-1
libdrm-intel1	resolute,now	2.4.131-1
libdrm2	resolute,now	2.4.131-1
libduktape207	resolute,now	2.7.0+tests-0ubuntu4
libeatmydata1	resolute,now	131-2build1
libedit2	resolute,now	3.1-20251016-1
libegl-mesa0	resolute,now	26.0.3-1ubuntu1
libegl1	resolute,now	1.7.0-3
libelf1t64	resolute,now	0.194-4
libencode-locale-perl	resolute,now	1.05-3
