gnupg	2.4.8-4ubuntu3	all	ii 
gnupg-l10n	2.4.8-4ubuntu3	all	ii 
gnupg-utils	2.4.8-4ubuntu3	amd64	ii 
gpg	2.4.8-4ubuntu3	amd64	ii 
gpg-agent	2.4.8-4ubuntu3	amd64	ii 
gpg-wks-client	2.4.8-4ubuntu3	amd64	ii 
gpgconf	2.4.8-4ubuntu3	amd64	ii 
gpgsm	2.4.8-4ubuntu3	amd64	ii 
gpgv	2.4.8-4ubuntu3	amd64	ii 
grep	3.12-1	amd64	ii 
groff-base	1.23.0-10	amd64	ii 
gsettings-desktop-schemas	50.0-1ubuntu2	all	ii 
gtk-update-icon-cache	4.22.2+ds-1ubuntu1	amd64	ii 
gyp	0.16.2-2build1	all	ii 
gzip	1.14-1~exp2ubuntu1	amd64	ii 
handlebars	3:4.7.7+~4.1.0-1	all	ii 
hcloud-cli	1.39.0-3	amd64	ii 
hicolor-icon-theme	0.18-2build1	all	ii 
hostname	3.25build1	amd64	ii 
ibus-gtk3:amd64	1.5.34~rc2-1	amd64	ii 
idle	3.14.3-0ubuntu2	all	ii 
idle-python3.14	3.14.4-1	all	ii 
info	7.2-5ubuntu2	amd64	ii 
init	1.69	amd64	ii 
init-system-helpers	1.69	all	ii 
install-info	7.2-5ubuntu2	amd64	ii 
iproute2	6.19.0-1ubuntu1	amd64	ii 
iputils-ping	3:20250605-1ubuntu1	amd64	ii 
iso-codes	4.20.1-1	all	ii 
javascript-common	12+nmu1build1	all	ii 
kbd	2.7.1-2ubuntu2	amd64	ii 
keyboard-configuration	1.237ubuntu3	all	ii 
kmod	34.2-2ubuntu2	amd64	ii 
krb5-locales	1.22.1-2ubuntu4	all	ii 
landscape-client	26.02.2-0ubuntu1	amd64	ii 
landscape-common	26.02.2-0ubuntu1	amd64	ii 
less	668-1build1	amd64	ii 
libabsl20260107:amd64	20260107.0-4	amd64	ii 
libacl1:amd64	2.3.2-2	amd64	ii 
libada-url0-3:amd64	3.4.3-1	amd64	ii 
libalgorithm-diff-perl	1.201-1	all	ii 
libalgorithm-diff-xs-perl	0.04-9	amd64	ii 
libalgorithm-merge-perl	0.08-5	all	ii 
libaom3:amd64	3.13.1-2	amd64	ii 
libapparmor1:amd64	5.0.0~beta1-0ubuntu7	amd64	ii 
libappstream5:amd64	1.1.2-1	amd64	ii 
libapt-pkg7.0:amd64	3.2.0	amd64	ii 
libarchive13t64:amd64	3.8.5-1ubuntu2.1	amd64	ii 
libasan8:amd64	16-20260322-1ubuntu1	amd64	ii 
libassuan9:amd64	3.0.2-2build1	amd64	ii 
libatk-bridge2.0-0t64:amd64	2.60.0-1	amd64	ii 
libatk1.0-0t64:amd64	2.60.0-1	amd64	ii 
libatomic1:amd64	16-20260322-1ubuntu1	amd64	ii 
libatspi2.0-0t64:amd64	2.60.0-1	amd64	ii 
libattr1:amd64	1:2.5.2-4	amd64	ii 
libaudit-common	1:4.1.2-1build1	all	ii 
libaudit1:amd64	1:4.1.2-1build1	amd64	ii 
libauthen-sasl-perl	2.2000-1	all	ii 
libavahi-client3:amd64	0.8-18ubuntu1.1	amd64	ii 
libavahi-common-data:amd64	0.8-18ubuntu1.1	amd64	ii 
libavahi-common3:amd64	0.8-18ubuntu1.1	amd64	ii 
libbinutils:amd64	2.46-3ubuntu2	amd64	ii 
libblkid1:amd64	2.41.3-3ubuntu2	amd64	ii 
libbpf1:amd64	1:1.6.3-1ubuntu1	amd64	ii 
libbrotli1:amd64	1.2.0-3build1	amd64	ii 
libbsd0:amd64	0.12.2-2build2	amd64	ii 
libbz2-1.0:amd64	1.0.8-6build2	amd64	ii 
libc-bin	2.43-2ubuntu2	amd64	ii 
libc-dev-bin	2.43-2ubuntu2	amd64	ii 
libc-gconv-modules-extra:amd64	2.43-2ubuntu2	amd64	ii 
libc6:amd64	2.43-2ubuntu2	amd64	ii 
libc6-dev:amd64	2.43-2ubuntu2	amd64	ii 
libcairo-gobject2:amd64	1.18.4-3	amd64	ii 
libcairo2:amd64	1.18.4-3	amd64	ii 
libcap-ng0:amd64	0.8.5-4build5	amd64	ii 
libcap2:amd64	1:2.75-10ubuntu2	amd64	ii 
libcap2-bin	1:2.75-10ubuntu2	amd64	ii 
libcares2:amd64	1.34.6-1	amd64	ii 
libcbor0.10:amd64	0.10.2-2ubuntu3	amd64	ii 
libcc1-0:amd64	16-20260322-1ubuntu1	amd64	ii 
libclone-perl:amd64	0.47-1	amd64	ii 
libcolord2:amd64	1.4.8-3	amd64	ii 
libcom-err2:amd64	1.47.2-3ubuntu4	amd64	ii 
libcrypt-urandom-perl	0.55-1	amd64	ii 
libcrypt1:amd64	1:4.5.1-1	amd64	ii 
libcryptsetup12:amd64	2:2.8.4-1ubuntu4	amd64	ii 
libctf-nobfd0:amd64	2.46-3ubuntu2	amd64	ii 
libctf0:amd64	2.46-3ubuntu2	amd64	ii 
libcups2t64:amd64	2.4.16-1ubuntu1	amd64	ii 
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.1	amd64	ii 
libcurl4t64:amd64	8.18.0-1ubuntu2.1	amd64	ii 
libdata-dump-perl	1.25-1	all	ii 
libdatrie1:amd64	0.2.14-1	amd64	ii 
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1	amd64	ii 
libdbus-1-3:amd64	1.16.2-2ubuntu4	amd64	ii 
libdconf1:amd64	0.49.0-4	amd64	ii 
libdebconfclient0:amd64	0.280ubuntu1	amd64	ii 
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3	amd64	ii 
libdisplay-info3:amd64	0.3.0-1	amd64	ii 
libdpkg-perl	1.23.7ubuntu1	all	ii 
libdrm-amdgpu1:amd64	2.4.131-1	amd64	ii 
libdrm-common	2.4.131-1	all	ii 
libdrm-intel1:amd64	2.4.131-1	amd64	ii 
libdrm2:amd64	2.4.131-1	amd64	ii 
libduktape207:amd64	2.7.0+tests-0ubuntu4	amd64	ii 
libeatmydata1:amd64	131-2build1	amd64	ii 
libedit2:amd64	3.1-20251016-1	amd64	ii 
libegl-mesa0:amd64	26.0.3-1ubuntu1	amd64	ii 
libegl1:amd64	1.7.0-3	amd64	ii 
libelf1t64:amd64	0.194-4	amd64	ii 
libencode-locale-perl	1.05-3	all	ii 
libepoxy0:amd64	1.5.10-2build1	amd64	ii 
liberror-perl	0.17030-1	all	ii 
libestr0:amd64	0.1.11-2build1	amd64	ii 
libevent-core-2.1-7t64:amd64	2.1.12-stable-10build2	amd64	ii 
libexpat1:amd64	2.7.4-1	amd64	ii 
libexpat1-dev:amd64	2.7.4-1	amd64	ii 
libext2fs2t64:amd64	1.47.2-3ubuntu4	amd64	ii 
libfakeroot:amd64	1.37.2-1	amd64	ii 
libfastjson4:amd64	1.2304.0-2build1	amd64	ii 
libfdisk1:amd64	2.41.3-3ubuntu2	amd64	ii 
libffi8:amd64	3.5.2-4	amd64	ii 
