software	command	state	path	version_probe
aws	aws	FOUND	/usr/local/bin/aws	aws-cli/2.35.8 Python/3.14.5 Linux/6.18.33.1-microsoft-standard-WSL2 exe/x86_64.ubuntu.26
az	az	FOUND	/usr/bin/az	{ "azure-cli": "2.87.0", "azure-cli-core": "2.87.0", "azure-cli-telemetry": "1.1.0", "extensions": {} } 
