Listing...
libfdisk1/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
libfreetype6/noble-updates,noble-security 2.13.2+dfsg-1ubuntu0.1 amd64 [upgradable from: 2.13.2+dfsg-1build3]
libgbm1/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
libgcc-13-dev/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
libgcc-s1/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgdk-pixbuf-2.0-0/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.3 amd64 [upgradable from: 2.42.10+dfsg-3ubuntu3.2]
libgdk-pixbuf2.0-bin/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.3 amd64 [upgradable from: 2.42.10+dfsg-3ubuntu3.2]
libgdk-pixbuf2.0-common/noble-updates,noble-security 2.42.10+dfsg-3ubuntu3.3 all [upgradable from: 2.42.10+dfsg-3ubuntu3.2]
libgfortran5/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgl1-mesa-dri/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
libglx-mesa0/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
libgnutls30t64/noble-updates,noble-security 3.8.3-1.1ubuntu3.5 amd64 [upgradable from: 3.8.3-1.1ubuntu3.4]
libgomp1/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgprofng0/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
libhwasan0/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libigdgmm12/noble-updates 22.3.17+ds1-1ubuntu1 amd64 [upgradable from: 22.3.17+ds1-1]
libitm1/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libldap-common/noble-updates 2.6.10+dfsg-0ubuntu0.24.04.1 all [upgradable from: 2.6.7+dfsg-1~exp1ubuntu8.2]
libldap2/noble-updates 2.6.10+dfsg-0ubuntu0.24.04.1 amd64 [upgradable from: 2.6.7+dfsg-1~exp1ubuntu8.2]
liblsan0/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libmount1/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
libnetplan1/noble-updates 1.1.2-8ubuntu1~24.04.2 amd64 [upgradable from: 1.1.2-8ubuntu1~24.04.1]
libnss-systemd/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
libnuma1/noble-updates 2.0.18-1ubuntu0.24.04.1 amd64 [upgradable from: 2.0.18-1build1]
libpam-systemd/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
libpng16-16t64/noble-updates,noble-security 1.6.43-5ubuntu0.5 amd64 [upgradable from: 1.6.43-5ubuntu0.4]
libpolkit-agent-1-0/noble-updates,noble-security 124-2ubuntu1.24.04.3 amd64 [upgradable from: 124-2ubuntu1.24.04.2]
libpolkit-gobject-1-0/noble-updates,noble-security 124-2ubuntu1.24.04.3 amd64 [upgradable from: 124-2ubuntu1.24.04.2]
libpython3.12-dev/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
libpython3.12-minimal/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
libpython3.12-stdlib/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
libpython3.12t64/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
libquadmath0/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libsframe1/noble-updates 2.42-4ubuntu2.10 amd64 [upgradable from: 2.42-4ubuntu2.8]
libsmartcols1/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
libssh-4/noble-updates,noble-security 0.10.6-2ubuntu0.4 amd64 [upgradable from: 0.10.6-2ubuntu0.2]
libssh-gcrypt-4/noble-updates,noble-security 0.10.6-2ubuntu0.4 amd64 [upgradable from: 0.10.6-2ubuntu0.2]
libssl-dev/noble-updates,noble-security 3.0.13-0ubuntu3.9 amd64 [upgradable from: 3.0.13-0ubuntu3.7]
libssl3t64/noble-updates,noble-security 3.0.13-0ubuntu3.9 amd64 [upgradable from: 3.0.13-0ubuntu3.7]
libstdc++-13-dev/noble-updates,noble-security 13.3.0-6ubuntu2~24.04.1 amd64 [upgradable from: 13.3.0-6ubuntu2~24.04]
libstdc++6/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libsystemd-shared/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
libsystemd0/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
libtiff6/noble-updates,noble-security 4.5.1+git230720-4ubuntu2.5 amd64 [upgradable from: 4.5.1+git230720-4ubuntu2.4]
libtsan2/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libubsan1/noble-updates,noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libudev1/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
libuuid1/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
libva-drm2/noble-updates 2.20.0-2ubuntu0.1 amd64 [upgradable from: 2.20.0-2build1]
libva-x11-2/noble-updates 2.20.0-2ubuntu0.1 amd64 [upgradable from: 2.20.0-2build1]
libva2/noble-updates 2.20.0-2ubuntu0.1 amd64 [upgradable from: 2.20.0-2build1]
libvpx9/noble-updates,noble-security 1.14.0-1ubuntu2.3 amd64 [upgradable from: 1.14.0-1ubuntu2.2]
libxml-parser-perl/noble-updates,noble-security 2.47-1ubuntu0.24.04.1 amd64 [upgradable from: 2.47-1build3]
linux-libc-dev/noble-updates,noble-security 6.8.0-110.110 amd64 [upgradable from: 6.8.0-100.100]
linux-tools-common/noble-updates,noble-security 6.8.0-110.110 all [upgradable from: 6.8.0-100.100]
lshw/noble-updates 02.19.git.2021.06.19.996aaad9c7-2ubuntu0.24.04.1 amd64 [upgradable from: 02.19.git.2021.06.19.996aaad9c7-2build3]
mesa-libgallium/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
mesa-va-drivers/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
mesa-vdpau-drivers/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
mesa-vulkan-drivers/noble-updates 25.2.8-0ubuntu0.24.04.1 amd64 [upgradable from: 25.0.7-0ubuntu0.24.04.2]
motd-news-config/noble-updates 13ubuntu10.4 all [upgradable from: 13ubuntu10.3]
mount/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
netplan-generator/noble-updates 1.1.2-8ubuntu1~24.04.2 amd64 [upgradable from: 1.1.2-8ubuntu1~24.04.1]
netplan.io/noble-updates 1.1.2-8ubuntu1~24.04.2 amd64 [upgradable from: 1.1.2-8ubuntu1~24.04.1]
nodejs/nodistro 20.20.2-1nodesource1 amd64 [upgradable from: 20.20.0-1nodesource1]
openssh-client/noble-updates,noble-security 1:9.6p1-3ubuntu13.15 amd64 [upgradable from: 1:9.6p1-3ubuntu13.14]
openssh-server/noble-updates,noble-security 1:9.6p1-3ubuntu13.15 amd64 [upgradable from: 1:9.6p1-3ubuntu13.14]
openssh-sftp-server/noble-updates,noble-security 1:9.6p1-3ubuntu13.15 amd64 [upgradable from: 1:9.6p1-3ubuntu13.14]
openssl/noble-updates,noble-security 3.0.13-0ubuntu3.9 amd64 [upgradable from: 3.0.13-0ubuntu3.7]
polkitd/noble-updates,noble-security 124-2ubuntu1.24.04.3 amd64 [upgradable from: 124-2ubuntu1.24.04.2]
python-apt-common/noble-updates 2.7.7ubuntu5.2 all [upgradable from: 2.7.7ubuntu5.1]
python3-apt/noble-updates 2.7.7ubuntu5.2 amd64 [upgradable from: 2.7.7ubuntu5.1]
python3-cryptography/noble-updates,noble-security 41.0.7-4ubuntu0.4 amd64 [upgradable from: 41.0.7-4ubuntu0.1]
python3-distupgrade/noble-updates 1:24.04.28 all [upgradable from: 1:24.04.27]
python3-jwt/noble-updates,noble-security 2.7.0-1ubuntu0.1 all [upgradable from: 2.7.0-1]
python3-netplan/noble-updates 1.1.2-8ubuntu1~24.04.2 amd64 [upgradable from: 1.1.2-8ubuntu1~24.04.1]
python3-openssl/noble-updates,noble-security 23.2.0-1ubuntu0.1 all [upgradable from: 23.2.0-1]
python3-pyasn1/noble-updates,noble-security 0.4.8-4ubuntu0.2 all [upgradable from: 0.4.8-4ubuntu0.1]
python3-software-properties/noble-updates 0.99.49.4 all [upgradable from: 0.99.49.3]
python3.12-dev/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
python3.12-minimal/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
python3.12-venv/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
python3.12/noble-updates,noble-security 3.12.3-1ubuntu0.12 amd64 [upgradable from: 3.12.3-1ubuntu0.11]
rsyslog/noble-updates 8.2312.0-3ubuntu9.2 amd64 [upgradable from: 8.2312.0-3ubuntu9.1]
snapd/noble-updates 2.74.1+ubuntu24.04.4 amd64 [upgradable from: 2.73+ubuntu24.04]
software-properties-common/noble-updates 0.99.49.4 all [upgradable from: 0.99.49.3]
