gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1	amd64	install ok installed
git	1:2.53.0-1ubuntu1	amd64	install ok installed
git-man	1:2.53.0-1ubuntu1	all	install ok installed
glycin-loaders	2.1.1+ds-0ubuntu1	amd64	install ok installed
glycin-thumbnailers	2.1.1+ds-0ubuntu1	amd64	install ok installed
gnu-coreutils	9.7-3ubuntu2	amd64	install ok installed
gnupg	2.4.8-4ubuntu3	all	install ok installed
gnupg-l10n	2.4.8-4ubuntu3	all	install ok installed
gnupg-utils	2.4.8-4ubuntu3	amd64	install ok installed
gpg	2.4.8-4ubuntu3	amd64	install ok installed
gpg-agent	2.4.8-4ubuntu3	amd64	install ok installed
gpg-wks-client	2.4.8-4ubuntu3	amd64	install ok installed
gpgconf	2.4.8-4ubuntu3	amd64	install ok installed
gpgsm	2.4.8-4ubuntu3	amd64	install ok installed
gpgv	2.4.8-4ubuntu3	amd64	install ok installed
grep	3.12-1	amd64	install ok installed
groff-base	1.23.0-10	amd64	install ok installed
gsettings-desktop-schemas	50.0-1ubuntu2	all	install ok installed
gtk-update-icon-cache	4.22.2+ds-1ubuntu1	amd64	install ok installed
gyp	0.16.2-2build1	all	install ok installed
gzip	1.14-1~exp2ubuntu1	amd64	install ok installed
handlebars	3:4.7.7+~4.1.0-1	all	install ok installed
hcloud-cli	1.39.0-3	amd64	install ok installed
hicolor-icon-theme	0.18-2build1	all	install ok installed
hostname	3.25build1	amd64	install ok installed
ibus-gtk3	1.5.34~rc2-1	amd64	install ok installed
idle	3.14.3-0ubuntu2	all	install ok installed
idle-python3.14	3.14.4-1	all	install ok installed
info	7.2-5ubuntu2	amd64	install ok installed
init	1.69	amd64	install ok installed
init-system-helpers	1.69	all	install ok installed
install-info	7.2-5ubuntu2	amd64	install ok installed
iproute2	6.19.0-1ubuntu1	amd64	install ok installed
iputils-ping	3:20250605-1ubuntu1	amd64	install ok installed
iso-codes	4.20.1-1	all	install ok installed
javascript-common	12+nmu1build1	all	install ok installed
kbd	2.7.1-2ubuntu2	amd64	install ok installed
keyboard-configuration	1.237ubuntu3	all	install ok installed
kmod	34.2-2ubuntu2	amd64	install ok installed
krb5-locales	1.22.1-2ubuntu4	all	install ok installed
landscape-client	26.02.2-0ubuntu1	amd64	install ok installed
landscape-common	26.02.2-0ubuntu1	amd64	install ok installed
less	668-1build1	amd64	install ok installed
libabsl20260107	20260107.0-4	amd64	install ok installed
libacl1	2.3.2-2	amd64	install ok installed
libada-url0-3	3.4.3-1	amd64	install ok installed
libalgorithm-diff-perl	1.201-1	all	install ok installed
libalgorithm-diff-xs-perl	0.04-9	amd64	install ok installed
libalgorithm-merge-perl	0.08-5	all	install ok installed
libaom3	3.13.1-2	amd64	install ok installed
libapparmor1	5.0.0~beta1-0ubuntu7	amd64	install ok installed
libappstream5	1.1.2-1	amd64	install ok installed
libapt-pkg7.0	3.2.0	amd64	install ok installed
libarchive13t64	3.8.5-1ubuntu2.1	amd64	install ok installed
libasan8	16-20260322-1ubuntu1	amd64	install ok installed
libassuan9	3.0.2-2build1	amd64	install ok installed
libatk-bridge2.0-0t64	2.60.0-1	amd64	install ok installed
libatk1.0-0t64	2.60.0-1	amd64	install ok installed
libatomic1	16-20260322-1ubuntu1	amd64	install ok installed
libatspi2.0-0t64	2.60.0-1	amd64	install ok installed
libattr1	1:2.5.2-4	amd64	install ok installed
libaudit-common	1:4.1.2-1build1	all	install ok installed
libaudit1	1:4.1.2-1build1	amd64	install ok installed
libauthen-sasl-perl	2.2000-1	all	install ok installed
libavahi-client3	0.8-18ubuntu1.1	amd64	install ok installed
libavahi-common-data	0.8-18ubuntu1.1	amd64	install ok installed
libavahi-common3	0.8-18ubuntu1.1	amd64	install ok installed
libbinutils	2.46-3ubuntu2	amd64	install ok installed
libblkid1	2.41.3-3ubuntu2	amd64	install ok installed
libbpf1	1:1.6.3-1ubuntu1	amd64	install ok installed
libbrotli1	1.2.0-3build1	amd64	install ok installed
libbsd0	0.12.2-2build2	amd64	install ok installed
libbz2-1.0	1.0.8-6build2	amd64	install ok installed
libc-bin	2.43-2ubuntu2	amd64	install ok installed
libc-dev-bin	2.43-2ubuntu2	amd64	install ok installed
libc-gconv-modules-extra	2.43-2ubuntu2	amd64	install ok installed
libc6	2.43-2ubuntu2	amd64	install ok installed
libc6-dev	2.43-2ubuntu2	amd64	install ok installed
libcairo-gobject2	1.18.4-3	amd64	install ok installed
libcairo2	1.18.4-3	amd64	install ok installed
libcap-ng0	0.8.5-4build5	amd64	install ok installed
libcap2	1:2.75-10ubuntu2	amd64	install ok installed
libcap2-bin	1:2.75-10ubuntu2	amd64	install ok installed
libcares2	1.34.6-1	amd64	install ok installed
libcbor0.10	0.10.2-2ubuntu3	amd64	install ok installed
libcc1-0	16-20260322-1ubuntu1	amd64	install ok installed
libclone-perl	0.47-1	amd64	install ok installed
libcolord2	1.4.8-3	amd64	install ok installed
libcom-err2	1.47.2-3ubuntu4	amd64	install ok installed
libcrypt-urandom-perl	0.55-1	amd64	install ok installed
libcrypt1	1:4.5.1-1	amd64	install ok installed
libcryptsetup12	2:2.8.4-1ubuntu4	amd64	install ok installed
libctf-nobfd0	2.46-3ubuntu2	amd64	install ok installed
libctf0	2.46-3ubuntu2	amd64	install ok installed
libcups2t64	2.4.16-1ubuntu1	amd64	install ok installed
libcurl3t64-gnutls	8.18.0-1ubuntu2.1	amd64	install ok installed
libcurl4t64	8.18.0-1ubuntu2.1	amd64	install ok installed
libdata-dump-perl	1.25-1	all	install ok installed
libdatrie1	0.2.14-1	amd64	install ok installed
libdb5.3t64	5.3.28+dfsg2-10ubuntu1	amd64	install ok installed
libdbus-1-3	1.16.2-2ubuntu4	amd64	install ok installed
libdconf1	0.49.0-4	amd64	install ok installed
libdebconfclient0	0.280ubuntu1	amd64	install ok installed
libdevmapper1.02.1	2:1.02.205-2ubuntu3	amd64	install ok installed
libdisplay-info3	0.3.0-1	amd64	install ok installed
libdpkg-perl	1.23.7ubuntu1	all	install ok installed
libdrm-amdgpu1	2.4.131-1	amd64	install ok installed
libdrm-common	2.4.131-1	all	install ok installed
libdrm-intel1	2.4.131-1	amd64	install ok installed
libdrm2	2.4.131-1	amd64	install ok installed
libduktape207	2.7.0+tests-0ubuntu4	amd64	install ok installed
libeatmydata1	131-2build1	amd64	install ok installed
libedit2	3.1-20251016-1	amd64	install ok installed
libegl-mesa0	26.0.3-1ubuntu1	amd64	install ok installed
libegl1	1.7.0-3	amd64	install ok installed
libelf1t64	0.194-4	amd64	install ok installed
libencode-locale-perl	1.05-3	all	install ok installed
libepoxy0	1.5.10-2build1	amd64	install ok installed
liberror-perl	0.17030-1	all	install ok installed
libestr0	0.1.11-2build1	amd64	install ok installed
libevent-core-2.1-7t64	2.1.12-stable-10build2	amd64	install ok installed
libexpat1	2.7.4-1	amd64	install ok installed
libexpat1-dev	2.7.4-1	amd64	install ok installed
libext2fs2t64	1.47.2-3ubuntu4	amd64	install ok installed
libfakeroot	1.37.2-1	amd64	install ok installed
libfastjson4	1.2304.0-2build1	amd64	install ok installed
libfdisk1	2.41.3-3ubuntu2	amd64	install ok installed
libffi8	3.5.2-4	amd64	install ok installed
